statement_id,statement_text,is_true,fact_check_true,fact_check_false,image_filename
S001,R-Chinese dissident  attack democrats on RNC,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Chinese dissident  praises Trump.png
S002,r_trump tax break under investigation,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Trump tax break under investigation.png
S003,R-Nun lauds Trump for being anti-abortion,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Nun lauds Trump for being anti-abortion.png
S004,T-RNC to stop using former presidents's likeness,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,T-RNC to stop using former president_s likeness.png
S005,R-Jeff Falke joins over two-dozen formwer GOP members of congress to launch Republican for Biden,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Jeff Falke joins over two-dozen former GOP members of congress to launch Republican for Biden.png
S006,R-Congress would not force Pentagon to change Confederate names of military bases,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Congress would not force Pentagon to change Confederate names of military bases.png
S007,r_facts did not justify wiretap of trump aide,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_facts did not justify wiretap of Trump aide.png
S008,T_7yearoldgirlisfatallyshotbymanwhowasreleasedfromjailhoursearlier,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,T_7 year old girl is fatally shot by man.png
S009,r_georgia removes barriers for puerto ricans,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Georgia removes barriers for Puerto Ricans.png
S010,"R-Trump gets endoresement of NYC police union, warns no one will be safe in Biden's America",True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,"R-Trump gets endoresement of NYC police union, warns no one will be safe in Biden_s America.png"
S011,R-Trump administration begins payroll tax deferral plan,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Trump administration begins payroll tax deferral plan.png
S012,R-Trump dismisses 2 T.V.A members after outsourcing dispute,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Trump dismisses 2 T.V.A members after outsourcing dispute.png
S013,r_girls sue to block transgender athletes,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_girls sue to block transgender athletes.png
S014,R-Biden eyes major foreign policy shifts if he wins,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Biden eyes major foreign policy shifts if he wins.png
S015,r_trump rejects request to fly pride flag,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Trump rejects request to fly pride flag.png
S016,T-Obama administration removed thousands of mailboxes,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,T-Obama administration removed thousands of mailboxes.png
S017,"R-Apple, Facebook and other major capmpanies denounce Trump visa restrictions",True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,"R-Apple, Facebook and other major capmpanies denounce Trump visa restrictions.png"
S018,"R-Judge voids 50,000 absentee ballot requests in Lowa country",True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,"R-Judge voids 50,000 absentee ballot requests in Iowa county.png"
S019,R-South Dakota turns down Trump's unemployment benfits boost,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-South Dakota turns down Trump_s unemployment benfits boost.png
S020,r_cons congressmen resigns,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Conservative congressmen resigns.png
S021,r_trump advisor says satanic pregnancies should miscarriage,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Trump advisor says satanic pregnancies should miscarriage.png
S022,R-House GOP's please to Republican National Committee for financial help go unanswered,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-House GOP_s pleas to Republican National Committee for financial help go unanswered.png
S023,R-Trump's Labor Chief accused of intervening in Oracle pay bias case,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Trump_s Labor Chief accused of intervening in Oracle pay bias case.png
S024,R-Trump says QAnon followers are people who love our country,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Trump says QAnon followers are people who love our country.png
S025,R-Progressive Didn't want Harris for V.P.,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Progressive Didn_t want Harris for V.P. .png
S026,R_30 million unemployed lose extra jobless benfits as talks between congress and White House,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R_30 million unemployed lose extra jobless benfits as talks between congress and White House.png
S027,r_kushner's FBI interviews to be held for review,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_Kushner_s FBI interviews to be held for review.png
S028,R-Amid signs of trouble for trump,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Amid signs of trouble for trump .png
S029,R-Biden urged not to debate Trump,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,R-Biden urged not to debate Trump .png
S030,r_reps suggest planting trillion tree to fix climate,True,Reliable sources say this claim is true.,Reliable sources say this claim is false.,r_reps suggest planting trillion tree to fix climate.png
S031,f_maine house democrats vote to allow female genital mutilation.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Maine house democrats vote to allow female genital mutilation.jpeg
S032,f_trump attacks buzz aldrin back- it was all fake news.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump attacks Buzz Aldrin back- it was all fake news.jpeg
S033,f_nancy pelosi's son arrested for murder.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Nancy Pelosi_s son arrested for murder.jpeg
S034,f_trump trades texas for wall,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump trades Texas for wall.png
S035,f_rubio rape victims should be in custody if there is suspicion that they're planning abortion.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Rubio rape victims should be in custody if there is suspicion that they_re planning abortion.jpeg
S036,f_assange- pardon in exchange for name of dem who leaked emails.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_assange- pardon in exchange for name of dem who leaked emails.jpeg
S037,f_a woman found dead on clinton estate.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_a woman found dead on clinton estate.jpeg
S038,f_donald trump signs executive order allowing the hunting of bald eagles.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_donald trump signs executive order allowing the hunting of bald eagles.jpeg
S039,F-Courtroom shocked after black teen requested to be tried as a white man,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,F-Courtroom shocked after black teen requested to be tried as a white man.png
S040,f_journalist who filmed trump sobbing in garden still in custody.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_journalist who filmed trump sobbing in garden still in custody.jpeg
S041,f_trump bringing back the draft.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump bringing back the draft.jpeg
S042,f_republican senator unveils plan to send teachers to marine bootcamp.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_republican senator unveils plan to send teachers to marine bootcamp.jpeg
S043,f_wounded social justice warrior project,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_wounded social justice warrior project.png
S044,f_malia obama among 10 arrested.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Malia Obama among 10 arrested.jpeg
S045,f_devos to strike more than 4.5 billion years of earth's history from school curriculum.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_devos to strike more than 4.5 billion years of earth_s history from school curriculum.jpeg
S046,f_Pelosi arrested.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Pelosi arrested.jpeg
S047,F-the english department at a public university declared that proper english,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,F-Rutgers Declares Grammar Racist.png
S048,F_Dictionary change the definition of Racism,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,F_Dictionary change the definition of Racism.png
S049,f_trump advisor denies moon landing,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump advisor denies moon landing.png
S050,f_eric schneiderman helped sell sex slaves.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_eric schneiderman helped sell sex slaves.jpeg
